AIM-Spice Version 2019.100  (Built on Aug 27 2019)
Simulation started on Tue Nov 12 13:41:12 2019
Circuit: * A simulation of all four pixels
Analysis: Transient Analysis
Time,v(erase),v(expose),v(n211),v(nre_r1),v(nre_r2),v(out_c1),v(out_c2)
0.00000000000000e+00,0.00000000000000e+00,0.00000000000000e+00,-1.18870703683483e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259521459229e+00,1.77182525485512e+00
1.20000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.18871487617439e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878334414e+00,1.77181909590507e+00
2.40000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.18872269492578e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878334414e+00,1.77181909590507e+00
4.80000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.18873829136038e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878334413e+00,1.77181909590506e+00
9.60000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.18876156281263e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878322502e+00,1.77181909596293e+00
1.92000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-1.18878464959581e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878345890e+00,1.77181909605013e+00
3.84000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-1.18880755171959e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878286489e+00,1.77181909612603e+00
7.68000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-1.18883026778057e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878248948e+00,1.77181909657250e+00
1.53600000000000e-07,0.00000000000000e+00,0.00000000000000e+00,-1.18885279354091e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878245856e+00,1.77181909663186e+00
3.07200000000000e-07,0.00000000000000e+00,0.00000000000000e+00,-1.18887511899526e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878083952e+00,1.77181909730088e+00
6.14400000000000e-07,0.00000000000000e+00,0.00000000000000e+00,-1.18889722276308e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259878821801e+00,1.77181910181170e+00
1.22880000000000e-06,0.00000000000000e+00,0.00000000000000e+00,-1.18891906119113e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259877509514e+00,1.77181910551074e+00
2.45760000000000e-06,0.00000000000000e+00,0.00000000000000e+00,-1.18894054648438e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259875972516e+00,1.77181910794867e+00
4.91520000000000e-06,0.00000000000000e+00,0.00000000000000e+00,-1.18896150721514e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259874226539e+00,1.77181912452556e+00
9.83040000000000e-06,0.00000000000000e+00,0.00000000000000e+00,-1.18898162524735e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259860510693e+00,1.77181915835778e+00
1.96608000000000e-05,0.00000000000000e+00,0.00000000000000e+00,-1.18900035508999e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259877415223e+00,1.77181913193676e+00
3.93216000000000e-05,0.00000000000000e+00,0.00000000000000e+00,-1.18901686932203e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259853803281e+00,1.77181937552331e+00
7.86432000000000e-05,0.00000000000000e+00,0.00000000000000e+00,-1.18903010081081e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259848210096e+00,1.77181968312896e+00
1.57286400000000e-04,0.00000000000000e+00,0.00000000000000e+00,-1.18903897091855e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259749152365e+00,1.77182039354283e+00
3.14572800000000e-04,0.00000000000000e+00,0.00000000000000e+00,-1.18904240232773e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259745067452e+00,1.77182200336111e+00
5.54572800000000e-04,0.00000000000000e+00,0.00000000000000e+00,-1.18904014633993e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259689618724e+00,1.77182230354244e+00
7.94572800000000e-04,0.00000000000000e+00,0.00000000000000e+00,-1.18903646344638e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259689672614e+00,1.77182230382413e+00
1.00000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,-1.18903377650542e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259532649873e+00,1.77182060201316e+00
1.00300000000000e-03,0.00000000000000e+00,1.79999999999998e-01,-1.15943152946056e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259872771347e+00,1.77181921993573e+00
1.00375000000000e-03,0.00000000000000e+00,2.25000000000004e-01,-1.13875540761922e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259872371820e+00,1.77181912980022e+00
1.00525000000000e-03,0.00000000000000e+00,3.15000000000003e-01,-9.67072998253914e-03,1.80000000000000e+00,1.80000000000000e+00,1.77259871176339e+00,1.77181914477095e+00
1.00720270713636e-03,0.00000000000000e+00,4.32162428181801e-01,1.80889097147332e-03,1.80000000000000e+00,1.80000000000000e+00,1.77259874581121e+00,1.77181930693044e+00
